total_volume,average_price
37223.45,1.39
16514.55,1.42
86686.51,1.21
152572.16,1.04
10393.69,1.62
269456.81,1.08
2368.84,1.8
2670425.59,1.38
3941512.2,0.99
11582.83,1.49
95935.66,1.19
1476651.08,1.59
7468.8,1.88
69593.63,1.23
649050.15,0.85
1052940.48,0.74
156608.28,1.11
359005.75,0.94
213547.17,1.78
776820.81,1.23
81291.05,1.37
7668.48,1.27
3226.62,1.4
2878967.54,1.12
906413.45,0.92
349121.77,1.05
375225.76,1.57
80611.01,1.26
295706.69,0.88
69867.41,1.7
169756.02,1.23
1164.87,1.51
4569.66,1.48
336192.0,1.48
4920.41,1.62
293036.34,1.05
1108.9,1.42
20070.8,1.16
19086.94,1.75
36591.27,1.88
50015.81,1.38
420054.95,1.47
2610004.41,1.15
169251.0,1.3
5787378.41,1.02
16770.93,2.18
363941.68,2.01
9768.28,1.73
13802.0,0.66
98030.75,1.19
195710.39,1.08
4618.57,1.25
3551.43,1.35
1829.78,1.65
1035973.14,0.7
44526.5,1.11
16832.81,1.85
6741662.31,0.97
6330634.55,0.94
503544.6,1.37
123851.34,1.52
178788.49,1.23
5598.49,1.68
3.729994522E7,1.2
3985.23,2.03
4685.01,1.25
24285.79,1.36
3244.63,1.24
7685.91,1.63
1798.92,1.69
62339.44,1.61
11015.7,1.73
6244.05,2.31
765983.21,1.14
4457049.41,1.09
1093144.23,0.76
242525.92,1.23
4785.67,1.88
64716.36,1.7
3627.68,2.11
187293.0,1.23
1072590.2,0.89
112278.17,1.79
14737.28,2.07
2797745.89,0.86
225346.56,1.24
14047.41,1.54
250231.06,1.24
84842.97,1.7
515792.87,0.95
3125.59,1.92
231422.37,1.4
158917.21,1.3
190716.43,1.05
730874.31,1.48
198267.13,0.95
27835.34,1.3
158194.1,1.26
226525.29,0.78
12276.58,1.24
